feature,type,top_trial_appearances,appearance_rate
straightaway_percent,batter,18,0.20689655172413793
flareburner_percent,batter,18,0.20689655172413793
xbacon,batter,18,0.20689655172413793
meatball_swing_percent,batter,17,0.19540229885057472
avg_hyper_speed,batter,17,0.19540229885057472
iz_contact_percent,batter,16,0.1839080459770115
poorlyunder_percent,batter,16,0.1839080459770115
wobadiff,batter,16,0.1839080459770115
xwobacon,pitcher,16,0.1839080459770115
popups_percent,batter,15,0.1724137931034483
oz_contact_percent,pitcher,14,0.16091954022988506
groundballs_percent,batter,14,0.16091954022988506
z_swing_miss_percent,batter,13,0.14942528735632185
sweet_spot_percent,batter,13,0.14942528735632185
launch_angle_avg,batter,13,0.14942528735632185
whiff_percent,batter,13,0.14942528735632185
hard_hit_percent,batter,13,0.14942528735632185
bacon,batter,12,0.13793103448275862
exit_velocity_avg,batter,12,0.13793103448275862
z_swing_percent,batter,12,0.13793103448275862
xwoba,batter,12,0.13793103448275862
meatball_percent,pitcher,12,0.13793103448275862
wobacon,batter,12,0.13793103448275862
avg_best_speed,batter,11,0.12643678160919541
meatball_percent,batter,11,0.12643678160919541
edge_percent,batter,11,0.12643678160919541
opposite_percent,batter,11,0.12643678160919541
poorlyweak_percent,batter,11,0.12643678160919541
bb_percent,pitcher,11,0.12643678160919541
xslgdiff,pitcher,11,0.12643678160919541
cu_avg_speed,pitcher,11,0.12643678160919541
oz_swing_miss_percent,pitcher,11,0.12643678160919541
xslg,pitcher,11,0.12643678160919541
xslgdiff,batter,10,0.11494252873563218
xobp,batter,10,0.11494252873563218
oz_contact_percent,batter,10,0.11494252873563218
xslg,batter,10,0.11494252873563218
flyballs_percent,batter,10,0.11494252873563218
linedrives_percent,batter,10,0.11494252873563218
xwoba,pitcher,10,0.11494252873563218
whiff_percent,pitcher,10,0.11494252873563218
linedrives_percent,pitcher,10,0.11494252873563218
sprint_speed,batter,9,0.10344827586206896
hp_to_1b,batter,9,0.10344827586206896
sweet_spot_percent,pitcher,9,0.10344827586206896
xwobacon,batter,9,0.10344827586206896
k_percent,batter,9,0.10344827586206896
arm_angle,pitcher,9,0.10344827586206896
oz_swing_percent,pitcher,9,0.10344827586206896
xba,pitcher,9,0.10344827586206896
popups_percent,pitcher,9,0.10344827586206896
launch_angle_avg,pitcher,9,0.10344827586206896
ff_avg_spin,pitcher,9,0.10344827586206896
oz_swing_percent,batter,8,0.09195402298850575
hard_hit_percent,pitcher,8,0.09195402298850575
xera,pitcher,8,0.09195402298850575
barrel_batted_rate,batter,8,0.09195402298850575
oz_swing_miss_percent,batter,8,0.09195402298850575
solidcontact_percent,batter,8,0.09195402298850575
swing_percent,batter,8,0.09195402298850575
wobadiff,pitcher,8,0.09195402298850575
exit_velocity_avg,pitcher,8,0.09195402298850575
k_percent,pitcher,7,0.08045977011494253
swing_percent,pitcher,7,0.08045977011494253
bb_percent,batter,7,0.08045977011494253
xba,batter,7,0.08045977011494253
pull_percent,batter,7,0.08045977011494253
f_strike_percent,batter,7,0.08045977011494253
barrel_batted_rate,pitcher,7,0.08045977011494253
ff_avg_break_x,pitcher,7,0.08045977011494253
wobacon,pitcher,7,0.08045977011494253
solidcontact_percent,pitcher,7,0.08045977011494253
avg_best_speed,pitcher,7,0.08045977011494253
ff_avg_speed,pitcher,7,0.08045977011494253
groundballs_percent,pitcher,7,0.08045977011494253
xbadiff,batter,6,0.06896551724137931
ff_avg_break_z,pitcher,6,0.06896551724137931
iz_contact_percent,pitcher,6,0.06896551724137931
edge_percent,pitcher,6,0.06896551724137931
z_swing_miss_percent,pitcher,6,0.06896551724137931
f_strike_percent,pitcher,6,0.06896551724137931
xobp,pitcher,6,0.06896551724137931
xbadiff,pitcher,5,0.05747126436781609
z_swing_percent,pitcher,5,0.05747126436781609
xiso,pitcher,4,0.04597701149425287
xiso,batter,4,0.04597701149425287
cu_avg_spin,pitcher,4,0.04597701149425287
avg_hyper_speed,pitcher,4,0.04597701149425287
poorlytopped_percent,batter,3,0.034482758620689655
flyballs_percent,pitcher,3,0.034482758620689655
ch_avg_speed,pitcher,1,0.011494252873563218
ch_avg_spin,pitcher,1,0.011494252873563218
